COMMENTS;SHELF;PN;DESC;QTY;;COND;SN;TAG INFO;TAG INFO;TAG DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3024559;SEAT-CHECK VALVE;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3008179;GEARSHAFT-BEVEL;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3031568;SHAFT-SECOND STAGE PLANET GEAR;5;EA;OH;N/A;VECTOR AEROSPACE TCCA;TCCA 24-0078;13/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3026887;SLEEVE - PRESSURE RELIEF VALVE;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3004586;WASHER-THR-1STG CARRIER;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3008146;TUBE-TRANSFER;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3003974;TUBE-TRANSFER;1;EA;OH;N/A;TCAC 24-0078 ATLANTIC TURBINES;TCCA 24-0078;01/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3034720;STRAINER;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3013294;PLUG;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;MS9954-08;PLUG-MACH THD .750-16JX.440 DR HEX;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
